question_id,question_type,question_number,group,shared_stem,question,option_A,option_B,option_C,option_D,option_E,answer,question_source,answer_source,explanation
A1-11,A1,11,,,呼吸衰竭治疗的主要目的是,控制感染,纠正酸碱失衡,纠正缺氧和CO，潴留,纠正电解质紊乱,纠正心力衰竭,C,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",呼吸衰竭是由于缺氧和二氧化碳潴留而引起，因此治疗的主要目的是纠 正缺氧和二氧化碳潴留。
A1-12,A1,12,,,呼吸衰竭患者最早、最突出的表现是,发绀,血压下降,心率加快,呼吸困难,肝肾功能损害,D,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",呼吸衰竭除引起呼吸衰竭的原发疾病症状、体征外，主要是缺氧和二氧 化碳潴留所致的呼吸困难和多脏器功能紊乱的表现，故最早、最突出的表现是呼吸困难。胸 闷、憋气、呼吸费力、喘息等是患者最常见的主诉。
A1-13,A1,13,,,给予呼吸衰竭患者的饮食应该是,高蛋白、高热量、低碳水化合物B.高蛋白、低热量、高碳水化合物,,高蛋白、高热量、高碳水化合物,高蛋白、低热量、低碳水化合物,低蛋白、低热量、低碳水化合物,A,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",呼吸衰竭的饮食护理：给予高蛋自、高热量、维生素丰富、低碳水化合 物、易消化的饮食，少量多餐。
A1-14,A1,14,,,下列关于呼吸衰竭时氧疗的叙述，说法错误的是,氧疗时保持呼吸道通畅,氧疗可通过多种途径进行 —4|,,,,D,P2,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",对缺氧不伴二氧化碳潴留的氧疗为高浓度吸氧（>35%），缺氧伴明显二 氧化碳潴留的氧疗原则为低浓度（35%）持续给氧。慢性呼吸衰竭患者由于高碳酸血症， 其呼吸中枢化学感受器对9O，反应性差，呼吸的维持主要靠低氧血症对颈动脉窦、主动脉体 化学感受器的兴奋作用。
A1-15,A1,15,,,患肺炎链球菌肺炎时产生的铁锈色痰最主要的原因是,痰内含大量脓细胞,痰内有大量红细胞,白细胞破坏时产生的溶蛋白酶,红细胞破坏释放出含铁血黄素,红细胞碎屑被巨噬细胞吞噬,D,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺炎链球菌肺炎患者开始痰可带血丝，24~48小时后可呈铁锈色，与肺 泡内浆液渗出，红细胞、白细胞渗出，红细胞破坏释放含铁血黄素有关。
A1-16,A1,16,,,肺炎链球菌肺炎最重要的胸部体征是,扁平胸,桶状胸,胸部疱疹,胸部肺实变体征,胸膜摩擦音,D,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",師炎链球菌辦炎最重要的胸部体征是肺实变体征。肺实变时，触
A1-17,A1,17,,,胸部触觉语颤增强见于,慢性支气管炎,肺气肿,肺源性心脏病（肺心病）,肺炎链球菌肺炎,胸腔积液,D,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",師炎链球菌辦炎最重要的胸部体征是肺实变体征。肺实变时，触
A1-18,A1,18,,,治疗肺炎链球菌肺炎的首选抗生素是蹈,青霉素,红霉素,阿米卡星,氧氟沙星,羧苄西林,A,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺统链辣原师炎一国诊断应立即抗生素治疗。疗程一般为5~7天。首选 药物为青莓素，所用剂量和途径视病情严重程度及有无并发症而定。
A1-19,A1,19,,,治疗肺炎链球菌肺炎，停用抗生素的指标一般是,症状、体征完全消失,体温降至正常后3天,体温降至正常后1周,体温降至正常后2周,X线检查示炎症阴影完全消失,B,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺炎链球菌肺炎热退后继续用药3天，一般疗程7~10天。
A1-20,A1,20,,,下列关于肺炎链球菌肺炎患者的护理措施，说法错误的是,气急、发绀者可给子鼻导管吸氧 B.腹胀者鼓励做局部热敷或肛管排气,,高热者首选使用退热药,进行保健指导，以防今后再次发病：胡,胸痛剧烈者取患侧卧位,C,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺炎链球菌肺炎高热患者降温以逐渐降温为宜，防止虚脱，宜采用温水 擦浴、冰袋、冰帽等物理降温，不宜用退热药，以免大汗、脱水和干扰热型观察。 科21.A 【解析】支原体经口、鼻的分泌物在空气中传播，常于秋冬季节发病。患者中儿 童和背每人居乡，婆儿有回反性廊滚时应考虑文原体腩炎的可能性。
A1-21,A1,21,,,支原体肺炎最常见的人群是 有E,儿童和青年,青年和中年,婴幼儿,学龄前儿童,老年,,P3,,
A1-22,A1,22,,,成人肺炎患者最常见的护理诊断是,体液过多,体温过高,心排血量减少,有窒息的危险,有皮肤完整性受损的危险,B,P3,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",成人肺炎患者最常见的护理诊断是体温过高，与肺部感染有关。 验室检查可发现血沉增快，
A1-23,A1,23,,,对发现活动性肺结核意义最大的是,咳嗽、咳痰,低热.乏力、盗汗,红细胞沉降率增快,结核菌素试验（PPD）阳性,结核患者接触史,C,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",活动性肺结核患者常有低热、咳嗽、消瘦、乏力、食欲峡乏等症状，实 或复发，血沉有助于观察结核病的活动性。 一般认为，结核病患者的红细胞沉降率迅速增快，提示该病活动
A1-24,A1,24,,,结核分枝杆菌主要的传播途径是,消化道,泌尿道,生殖道,呼吸道,皮肤接触,D,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺结核主要通过呼吸道传择。飞沫感染是最常见的方式。传染源主要是 排磁的励结核患者，尤其是痰涂片阴性、米给治疗者。经消化道和皮肤等途径传播现已 罕见。
A1-25,A1,25,,,切断肺结核传播途径最关键的措施是,接种卡介苗,每年进行胸部X线普查,早期发现、彻底治疗肺结核患者,加强卫生宣传教育,对结核菌素试验阳性且与患者密切接触的家属给予药物预防,C,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",切断肺结核传播的最关键措施是控制传染源，也就是对于肺结核患者的 早期发现、早期治疗。
A1-26,A1,26,,,下列选项中哪项是判断肺结核有无传染性最重要的依据,红细胞沉降率增快,结核菌素试验阳性,反复痰中带血,胸部X线检查有空洞,痰结核菌检查阳性,E,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",结核菌检查是确诊肺结核病的特异依据。痰培养则更精确，且可鉴定菌 型，做药物敏感试验。痰菌阳性表明其病灶是开放性的，具有传染性。
A1-27,A1,27,,,肺结核患者的全身毒性症状中有特异性的是（,疲乏,食欲缺乏,体重减轻,月经失调,低热、盗汗,E,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺结核患者的全身症状中发热为最常见症状，多为午后潮热，部分患者 有倦怠、乏力、盗汗、食欲缺乏和体重减轻等。
A1-28,A1,28,,,肺结核患者应做好大咯血的护理，其最主要的目的是为了避免发生,窒息,贫血,发热,循环衰竭,呼吸道感染,A,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺结核大咯血是呼吸系统疾病的急症之一，可引起失血性休克、窒息等 而造成死亡，其中窒息是造成咯血患者死亡的主要原因，因此，对肺结核大咯血患者加强临 床观察及护理是非常重要的。
A1-29,A1,29,,,处理肺结核患者的痰液最简便、有效的方法是,深埋,焚烧,煮沸,乙醇消毒,等量1%消毒灵浸泡,B,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",结核分枝杆菌菌体成分复杂，主要是类脂质、蛋白质和多糖，其对外界 理化因素的抵抗力较强。在阴湿环境下能生存5个月以上，但在阳光下暴晒2小时，紫外线 照射30分钟即可被杀死。湿热对结核菌杀伤力强，煮沸5分钟即可杀死，所以煮沸消毒与 高压消毒是最有效的消毒法。70%乙醇接触2分钟亦可杀菌。将痰吐在纸上直接焚烧是最简 易的灭菌方法。
A1-30,A1,30,,,成人继发性肺结核中最常见的是,原发型肺结核,浸润型肺结核,结核性胸膜炎,血行播散型肺结核,慢性纤维空洞型肺结核,B,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",浸润型肺结核是肺结核中最常见的一种类型，多见于成年患者。
A1-31,A1,31,,,下列关于结核菌素试验结果的描述，说法正确的是,凡是结核菌素试验阴性都可以排除结核 161,,,,,D,P4,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",成人结素试验阳性反应仅表示接种过卡介苗或受过结核菌感染，并不 表示一定患病；结素试验阴性说明机体没有结核菌感染，还见于下列情况：①初染结核 菌4~8周内，机体内变态反应尚未完全建立。②严重结核病和危重患者，由于免疫力下降 和变态反应暂时受抑制，结核菌素试验可暂时呈阴性，待病情好转可转为阳性。③机体免疫 功能低下或受抑制时，如应用糖皮质激素、免疫抑制剂者，肿瘤及营养不良和老年体弱者结 核菌素反应可暂时消失，亦可表现为阴性；老年人结核菌素反应也常为阴性。
A1-32,A1,32,,,下列选项中最常见的肺癌病理分型是,腺癌,大细胞未分化癌,小细胞未分化癌,鳞状上皮细胞癌,细支气管肺泡癌,D,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",鳞状上皮细胞癌占肺癌40%以上，是最常见的肺癌病理分型。
A1-33,A1,33,,,支气管肺癌最常见的早期症状是,胸痛,发热,阵发性刺激性干咳,持续性痰中带血,胸闷、气急,C,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",咳嗽为肺癌最常见的临床症状，60%的患者以咳嗽为首发症状，80%患 者有咳嗽症状。
A1-34,A1,34,,,周围型肺癌最常见的组织学类型是,鳞状上皮癌,肺泡细胞癌,腺癌,未分化癌 可烈参区,转移癌,C,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",腺癌占肺癌的25%~30%。大多数腺癌是周围型，肿块直径多在4cm 以上。
A1-35,A1,35,,,肺癌大多起源于,肺毛细血管,肺小动脉,肺小静脉,支气管黏膜上皮,支气管软骨,D,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺癌绝大多数起源于支气管黏膜上皮，极少来自肺泡上皮，因而肺癌主 要为支气管肺癌。肺癌的分布情况为右肺多于左肺，上叶多于下。
A1-36,A1,36,,,晚期肺癌患者出现一侧上险下垂，瞳孔缩小，眼球内陷，额部与胸部少汗的原因是癌 肿致,上腔静脉受压,膈神经受压,喉返神经受压,交感神经受压,侵犯胸膜,D,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",Horer 综合征表现为患侧颜面无汗和发红，患侧眼球内陷、上脸下垂、眼裂狭窄、瞳孔缩小等，常由颈及第1胸交感神经节受肿瘤侵犯或压迫所致。
A1-37,A1,37,,,不属于肺癌常见的肺外表现的是,骨关节痛,肝大,乳腺增大,库欣（Cushing）综合征,杵状指（趾）,B,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺外表现又称副癌综合征，是指与肺癌有关，但与肿瘤的压迫、转移以 及肿瘤的治疗均无关系的一组内分泌、神经肌肉或代谢异常的综合征。常见表现有肥大性骨 一 21— 第一篇内科护理学 关节病及由其引起的杵状指（趾）、男性乳房发育和增生性骨关节病、库欣综合征、周围神 经病变、重症肌无力和肌病等。
A2-1,A2,1,,,患者，女性，35岁。车祸致左腿开放性骨折3小时。现出现呼吸困难，考虑呼吸衰竭可 能。此时应行的检查是,胸腔穿刺术,纤维支气管镜检查 一7—,,,,D,P5,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",考虑呼吸衰竭可能，此时应行的检查是动脉血气分析。呼吸衰竭的诊断标 准参见 AI 型题第7题解析。
A2-2,A2,2,,,"某老年呼吸衰竭患者，因近日咳嗽、咳痰、气急明显，出现神志不清、发绀、多汗及皮 肤温度增高。血气分析：PaO, 50mmHg, PaCO,60mmHg。应给予",乙醇湿化吸氧,低浓度、低流量持续吸氧,低浓度、低流量间断吸氧代不豆,高浓度、高流量持续吸氧,高浓度、高流量间断吸氧,B,P6,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png","根据血气分析结果 PaO,50mmHg,PaC0,60mmHlg 可诊断为I型呼吸衰竭， 续氧和二氧化碳潴留同时存在，高碳酸血症使其呼吸中枢化学感受器对CO，反应性差，呼吸 的维持主要靠低氧血症对颈动脉窦、主动脉体化学感受器的兴奋作用。故应给予低浓度、低 流量持续吸氧。"
A2-3,A2,3,,,患者，女性，65岁。患大叶性肺炎，高热、昏迷7天，7天内给予大量广谱抗生素抗感 染治疗。近日护士做口腔护理时发现其口腔黏膜破溃，创面上附着白色膜状物。该患者 最可能发生,无菌群失调,菌群交替症,原位菌群二度失调,原位菌群一度失调,移位菌群失调,B,P6,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",该患者经大量广谱抗生素抗感染治疗，造成大部分正常菌群消失，而少数 菌种占决定性优势。依据该患者的表现可以证实白色念珠菌感染。该菌种在正常人的皮 肤、口腔、黏膜中均可检出，但并不致病。在机体抵抗力下降或适宜于真菌繁殖的时候可致 病。所以为原位菌群三度失调，又称菌群交替症。
A2-4,A2,4,,,患者，男性，25岁。因受凉后突起畏寒、发热，体温达39.2°C，左侧胸痛伴咳嗽，咳少 量铁锈色痰。胸部×线片示左中下肺野大片淡薄阴影。其最可能的诊断是,金黄色葡萄球菌肺炎,结核性胸膜炎,肺炎链球菌肺炎,原发性支气管癌合并阻塞性肺炎,急性原发性肺脓肿,C,P6,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺炎链球菌肺炎典型者痰液可呈铁锈色。肺炎链球菌肺炎X线检查可见肺 病变部呈大片均匀、致密阴影，局限于一肺叶或一肺段。
A2-5,A2,5,,,患者，女性，45岁。因寒战、高热、咳嗽、胸痛来院急诊。胸透示右上肺有大片云絮状 阴影。查痰示肺炎链球菌（+）。该患者的血象是,中性粒细胞增多,嗜酸性粒细胞增多,单核细胞增多,嗜碱性粒细胞增多,淋巴细胞增多,A,P6,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺炎链球菌肺炎由肺炎链球菌引起，起病急骤，以高热、寒战、咳嗽、血 痰和胸痛为特征，实验室检查常可示：白细胞计数增多和中性粒细胞比例增多，伴核左移。
A2-6,A2,6,,,某肺炎患者，体质较弱，经抗感染及一般对症治疗，未有明显好转。为防止病情恶化， 应特别注意观察,血压变化,体温变化,血液白细胞计数变化,肺部体征变化,呼吸系统症状变化,A,P6,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",对于年老、体质虚弱的肺炎患者，宜密切注意观察其神志、血压、尿量 等，防止发生感染性休克
A2-7,A2,7,,,患儿，女，13岁。郊游后出现低热、乏力、咳嗽2周，偶有黏痰。胸部X线片示两下肺 斑点状浸润阴影。血白细胞计数9.8×10°/L。最可能的诊断是,念珠菌肺炎,,浸润型肺结核 小B. 支原体肺炎三烧！,病毒性支气管炎,军团菌肺炎 一8一,B,P6,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",根据咳嗽、乏力、发热等症状，白细胞计数多正常或稍高，X线检查呈斑 点状浸润影，患者最可能的诊断为支原体肺炎。
A2-8,A2,8,,,患者，男性，25岁。肺门淋巴结肿大，PPD 试验 SU，硬结直径15mm，伴水疱。诊断为,硅沉着病,肺结核,结节病,淋巴瘤,肺癌,B,P7,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",结核菌素试验是确诊肺结核病的特异依据。常取0.1ml 结核菌素稀释液在 前特 侧做皮内註射，注射后48～72小时劃皮肤硬結直径，如小于5mm 为阴性，S~9mm为 弱阴性，10~19mm 为阴性，20mm 以上或局部有水疱、坏死为强阳性。
A2-9,A2,9,,,患者，女性，45岁。近2个月来低热！咳嗽、咳痰、消瘦。X线检查示上肺有炎症浸润 及空洞性病变。最可能是,肺癌 鋪甲苯基？,肺脓肿,肺结核 菜十 D. 肺大疱并发感染,,肺囊肿并发感染,C,P7,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",患者的低热、咳嗽、咳痰、消瘦等表现和×线片上肺有炎症浸润及空洞性 病变符合肺结核诊断。
A2-10,A2,10,,,某肺结核患者，提一重物后突然呼吸困难，随即咳大量血痰约1000ml，但突然血痰停 止，患者极度紧张，双手乱抓的原因是,窒息,休克,失血过多,心脏停搏,气管挛缩,A,P7,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",大咯血时患者出现情绪紧张、面色灰暗、胸闷、气促、咯血不畅，往往 是窒息先兆，应引起警惕。 听诊呼吸音消失符合胸腔积液诊断。
A2-11,A2,11,,,某肺结核患者，近日左胸痛，呼吸时疼痛加重，屏气时减轻，数天后胸痛消失，但呼吸 困难越来越重，检查时发现患侧叩诊浊音，听诊呼吸音消失。可能是,胸腔积液,胸膜肥厚,胸腔积气,胸壁肥厚,皮下气肿,A,P7,"IMG_8618.png,IMG_8619.png,IMG_8620.png,IMG_8621.png,IMG_8622.png,IMG_8623.png,IMG_8624.png,IMG_8625.png,IMG_8626.png,IMG_8627.png",肺结核呼吸困难乡见于于酪样肺炎和大量胸腔积液患者。且叩诊浊音、12. B 【解析】胸部 ×线检查是肺结核诊断、分型、指导治疗及了解病情变化的主要 依据。
A2-12,A2,12,,,某肺结核患者，已患病1年，因未正规治疗，故现仍有发热、咳嗽、咯血等症状。为了 解疾病情况以便对症治疗，应选择下列哪项检查,胸部 MRI,胸部X线,胸部 CT,咯血量评估,胸部磁共振成像,,P7,,
