question_id,question_type,question_number,group,shared_stem,question,option_A,option_B,option_C,option_D,option_E,answer,question_source,answer_source,explanation
A1-23,A1,23,,,心肌严重缺血超过多久即可发生心肌梗死,5分钟,10分钟,,,,D,P3,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心肌严重缺血超过1小时即可发生心肌梗死。
A1-24,A1,24,,,关于心绞痛发作时的处理方法，不妥的是,立即就地休息,立即舌下含服硝酸甘油,疼痛不缓解可以每30分钟重复服用硝酸甘油1次,可间隔含服3次硝酸甘油 E，连续含服3次硝酸甘油后胸痛不缓解，应立即叫救护车送医院救治,,C,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心绞痛发作期治疗：即刻休息，硝酸酯类药物是最有效、作用最快终止 心绞痛发作的药物。连续含服3次硝酸甘油后胸痛不缓解，应立即要救护车送医院救治。
A1-25,A1,25,,,适宜冠心病患者的饮食是,高热量、低胆固醇饮食,高热量、低蛋白质饮食,低热量、低盐，高胆固醇饮食,低胆固醇、低盐饮食,高蛋白、低动物脂肪饮食,D,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",冠心病患者宜低胆固醇饮食。心绞痛患者饮食：宜摄入低热量、低动物 脂肪、低胆固醇、少糖、少盐、适量蛋白质食物，饮食中应有适量的纤维素和丰富的维生 素，宜少量多餐，不宜过饱，不饮浓茶、咖啡，避免辛辣刺激性食物。急性心肌梗死患者饮 食：食用低热量、低脂、低胆固醇，总热量不宜过高的饮食，以维持正常体重为度。清淡饮 食，少量多餐。避免大量刺激性食品。多食含纤维素和果胶的食物。
A1-26,A1,26,,,不属于安装永久性心脏起搏器适应证的是（,病态窦房结综合征,反复发作的颈动脉窦性晕厥,反复发作的心室停顿,完全性房室传导阻滞,外科手术前的保护性应用,E,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",本题考查了安装心脏起搏器的适应证：①严重心脏传导阻滞。②病态窦 房结综合征。③反复发作的颈动脉窦性晕厥和心室停顿。④外科手术前的保护性应用。⑤介 入性心脏病诊治。其中前3项均是安装永久起搏器的适应证，而后两项则为安装临时起搏器 的适应证。
A1-27,A1,27,,,目前我国引起心房颤动最常见的病因是,风湿性心脏病二尖瓣狭窄,情绪激动,急性酒精中毒,剧烈运动后,缩窄性心包炎,A,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",考查对于心房颤动病因的掌握，常发生于器质性心脏疾病患者，如风湿 性心脏病。
A1-28,A1,28,,,急性心肌梗死患者中50%~80%病前有先兆，其最常见表现,自发性心绞痛，逐渐心绞痛加重,新发生心绞痛，原有心绞痛加重,变异型心绞痛，持续心绞痛加重,稳定型心绞痛，逐渐心绞痛加重,混合性心绞痛，持续心绞痛加重,B,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",50%以上的急性心肌梗死患者发病数日或数周前有胸闷、心悸、乏力、恶心、大汗、烦躁、血压波动、心律失常、心绞痛等前驱症状，以新发生的心绞痛，或原有 心绞痛发作频繁且程度加重、持续时间长、服用硝酸甘油效果不好为常见。
A1-29,A1,29,,,应用硝酸甘油缓解心绞痛，正确的护理是,观察头晕、血压偏高表现,药物用温开水送服,药物置口中，立即咽下,舌下含化，药物被涎液溶解使吸收减少,口含药物时宜平卧以防低血压,E,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",应用硝酸甘油时，嘱咐患者舌下含服或嚼碎后含服，应在舌下保留一些 唾液，以利于药物迅速溶解而吸收。含药后应平卧，以防低血压的发生。服用硝酸酯类药物 后常有头胀、面红、头晕、心悸等血管扩张的表现，一般持续用药数天后可自行好转。对于 心绞痛发作频繁或含服硝酸甘油效果不好的患者，可静脉滴注硝酸甘油，但注意滴速，需监 测血压、心率变化，以免造成血压降低。青光眼、低血压者禁忌。
A1-30,A1,30,,,急性心肌梗死出现下列哪种心律失常时最需要紧急处理,心房颤动,窦性心动过速,偶发室性期前收缩,室性心动过速,二度I型房室传导阻滞,D,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心肌梗死后的恶性心律失常易引起猝死，一旦发现必须及时处理。急性 心梗发病后 24 小时内最易发生心律失常，各种心律失常中以室性心律失常最多，尤其是室 性期前收缩。频发（每分钟5次以上）、多源、成对的或呈R-on-T现象的室早以及短阵至 性心动过速，常是心室颤动（室颤）的先兆，因此必须及时消除。
A1-31,A1,31,,,心绞痛疼痛发作时典型心电图表现是,T波高尖,ST段弓背抬高 ～32～,,,,D,P4,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",心绞痛疼痛发作时典型心电图表现是ST段压低，T波低平或倒置。 32. 卫【解析】急性心肌模死是在冠状动脉硬化的基础上，冠状动脉血供应急剧减少或 一54— O口 第二章循环系统疾病患者的护理 中断，使相应的心肌发生严重持久的缺血导致心肌坏死。
A1-32,A1,32,,,发生急性心肌梗死的病理基础是,出血,粥样斑块破裂,血栓形成,冠状动脉痉挛,动脉粥样硬化致管腔严重狭窄和心肌供血不足,,P5,,
A1-33,A1,33,,,血压正常值力,收缩压=140mmHg且舒张压 =90mmHg,收缩压＜140mmHlg且舒张压<90mmHig,收缩压<160mmHg且舒张压<95mmHg,收缩压=160mmHg 且舒张压=95mmHlg,收缩压＜90mmHg 且舒张压<60mmHg,B,P5,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",血压正常值为收缩压<140mmHg且舒张压<90mmHg。
A1-34,A1,34,,,原发性高血压急症患者，首选的降压药是,硝普钠,利血平,阿替洛尔,氢氯噻嗪,硝酸甘油,A,P5,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",处理高血压急症应要求使用起效快、作用持续时间短、不良反应小的药 物，临床上降压药物首选硝普钠。硝普钠能同时直接扩张动脉和静脉，降低心脏的前后负 荷，降压效果迅速。
A1-35,A1,35,,,原发性高血压合并支气管哮喘患者降压治疗，不宜选用,卡托普利,哌唑嗪,硝苯地平,呋塞米,普萘洛尔,E,P5,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",普萘洛尔等B受体阻断药主要不良反应有心动过缓和支气管收缩，急性 心力衰竭、病窦综合征、房室传导阻滞、外周血管病、阻塞性支气管疾病患者禁用。
A1-36,A1,36,,,急性肺水肿的给氧方式为,高压给氧,,高流量乙醇湿化给氧 产支出B.气管切开,间断低流量吸氧,持续低流量吸氧,C,P5,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",急性肺水肿时30%~50%乙醇湿化吸氧，6~8L/min。
A1-37,A1,37,,,急性肺水肿时吸入乙醇湿化氧气的目的是,兴奋呼吸中枢,杀灭呼吸道细菌,解除支气管平滑肌痉挛,降低肺泡内泡沫的表面张力,促使毛细血管扩张而减轻心脏负荷,D,P5,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",急性肺水肿，乙醇湿化的目的，最重要的是降低肺泡表面张力。肺水肿 的患者，肺泡渗出量过多，处于缺血、乏氧状态，吸氧是为了改善患者的乏氧状态。给子高 流量吸氧，一般6~8L/min，通过乙醇湿化给氧，能够改善患者通气，扩张气管和支气管功 能，最重要的是降低肺泡内表面张力，防止肺泡破裂，改善气体通气状态，减少无效腔面 积，改善无效腔，改善通气/血流比例失调。急性肺水肿时，通常给予高流量氧气吸人，但 吸入高流量氧气时，时间切不可过长，容易发生氧中毒。
A1-38,A1,38,,,下列有关高血压非药物治疗的叙述正确的是,适用于所有高血压患者,仅适用于轻度高血压患者,仅适用于轻度、中度高血压患者,轻度、中度高血压患者非药物治疗可使血压降至正常,已经应用药物治疗的患者可以不采取非药物治疗,A,P5,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",非药物治疗：限制钠盐摄人、减轻体重、运动、休息或其他生物行方 法。适用于所有高血压患者（也包括使用降压药物治疗的患者）。 元39.E【解析】高血压急症是指原发性或继发性高血压患者，在某些诱因的作用下血压 突然和显著升高，同时伴有进行性心、脑、肾等重要靶器官功能不全表现。高血压急症包括 恶性高血压、高血压脑病、高血压危象、颅内出血、脑梗死、急性心力衰竭（肺水肿）、子 痫、急性肾小球肾炎等。
A1-39,A1,39,,,下列哪项不属于高血压急症,急性心力衰竭,高血压脑病,高血压危象,肺水肿,2级高血压,,P6,,
A1-40,A1,40,,,洋地黄制剂治疗心衰最主要的机制是,兴奋交感神经,扩张冠状动脉,增强心肌收缩力,兴奋心脏传导系统,抑制迷走神经系统,C,P6,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",洋地黄类药物是临床最常用的强心药物，具有正性肌力和减慢心率作用， 在增加心肌收缩力的同时，不增加心肌氧耗量。
A1-41,A1,41,,,優性心衰患者应用B受体阻断药的作用机制是（00,增强心肌收缩力,减轻心脏前负荷,减轻心脏后负荷,改善呼吸困难,降低死亡率、住院率,E,P6,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",临床应用B受体阻断药其疗效常在用药后2~3个月才出现，但明显提高 运动耐力，改善心力衰竭预后，降低病死率。
A1-42,A1,42,,,右心衰与肝硬化水肿的鉴别要点是,肝大,下肢水肿,体重增加,中心静脉压增高,腹水形成,D,P6,"IMG_8651.png,IMG_8652.png,IMG_8653.png,IMG_8654.png,IMG_8655.png,IMG_8656.png,IMG_8657.png,IMG_8658.png,IMG_8659.png,IMG_8660.png,IMG_8661.png,IMG_8662.png,IMG_8663.png,IMG_8664.png",右心衰与肝硬化水肿的鉴别要点是中心静脉压增高。中心静脉压代表右 心房或胸腔段静脉内压力，过低可能是血容量不足，过高可能是心功能不全。肝硬化腹水多 表现为门静脉压力的增高。
